"","pre_id","post_id","weight","top_np","supervoxel_id","side","flow","super_class","cell_class","type","top_nt","ito_lee_hemilineage","hemibrain_type","fbbt_id","dataset","pre_key","post_key"
"1",720575940636992368,720575940629981440,164,"LAL_R","78885355625276424","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","FBbt_00049846","flywire","fw:720575940636992368","fw:720575940629981440"
"2",720575940636992368,720575940607155890,141,"LAL_L","80433124332533007","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","FBbt_00049846","flywire","fw:720575940636992368","fw:720575940607155890"
"3",720575940636992368,720575940626694288,108,"LAL_L","82756735730850437","R","intrinsic","central",NA,"LAL051","glutamate","VLPl2_medial","LAL051","FBbt_20001347","flywire","fw:720575940636992368","fw:720575940626694288"
"4",720575940644615716,720575940629981440,102,"LAL_R","78885355625276424","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","FBbt_00049846","flywire","fw:720575940644615716","fw:720575940629981440"
"5",720575940636992368,720575940628319546,89,"LAL_L","81772191653781713","R","intrinsic","central",NA,"LAL115","acetylcholine",NA,"LAL115","FBbt_20001411","flywire","fw:720575940636992368","fw:720575940628319546"
"6",720575940644615716,720575940623067389,85,"LAL_R","78323848579376136","L","intrinsic","central",NA,"LAL051","glutamate","VLPl2_medial","LAL051","FBbt_20001347","flywire","fw:720575940644615716","fw:720575940623067389"
"7",720575940636992368,720575940622979848,80,"LAL_L","81138392456950436","R","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940636992368","fw:720575940622979848"
"8",720575940636992368,720575940624891941,79,"LAL_L","80997861193573551","R","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940636992368","fw:720575940624891941"
"9",720575940636992368,720575940630085583,72,"LAL_L","81067198742878698","R","efferent","descending",NA,"DNa03","acetylcholine","WEDd1","DNa03","FBbt_00047574","flywire","fw:720575940636992368","fw:720575940630085583"
"10",720575940644615716,720575940607155890,70,"LAL_R","80433124332533007","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","FBbt_00049846","flywire","fw:720575940644615716","fw:720575940607155890"
"11",720575940644615716,720575940620918789,67,"LAL_R","78816429788909362","L","efferent","descending",NA,"DNa03","acetylcholine","WEDd1","DNa03","FBbt_00047574","flywire","fw:720575940644615716","fw:720575940620918789"
"12",720575940636992368,720575940659019649,64,"LAL_L","81208967425967975","R","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940636992368","fw:720575940659019649"
"13",720575940636992368,720575940614412906,62,"LAL_L","80292386844127869","R","intrinsic","central",NA,"LAL135","acetylcholine","putative_primary","LAL135","FBbt_20001431","flywire","fw:720575940636992368","fw:720575940614412906"
"14",720575940636992368,720575940615651670,61,"LAL_R","78956961051795800","L","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940636992368","fw:720575940615651670"
"15",720575940636992368,720575940626113661,58,"LAL_L","80504730161693102","R","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940636992368","fw:720575940626113661"
"16",720575940636992368,720575940612213741,57,"AL_L","80787785149589590","R","intrinsic","central",NA,"CB0646","gaba","putative_primary","hb1822686129",NA,"flywire","fw:720575940636992368","fw:720575940612213741"
"17",720575940636992368,720575940645716771,57,"LAL_R","79027261143128988","L","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940636992368","fw:720575940645716771"
"18",720575940644615716,720575940626694288,57,"LAL_L","82756735730850437","R","intrinsic","central",NA,"LAL051","glutamate","VLPl2_medial","LAL051","FBbt_20001347","flywire","fw:720575940644615716","fw:720575940626694288"
"19",720575940644615716,720575940645716771,57,"LAL_R","79027261143128988","L","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940644615716","fw:720575940645716771"
"20",720575940644615716,720575940629910636,54,"LAL_R","78253617274050557","L","intrinsic","central",NA,"LAL115","acetylcholine",NA,"LAL115","FBbt_20001411","flywire","fw:720575940644615716","fw:720575940629910636"
"21",720575940644615716,720575940624891941,53,"LAL_L","80997861193573551","R","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940644615716","fw:720575940624891941"
"22",720575940636992368,720575940618019933,52,"LAL_L","80083067251096259","R","intrinsic","central",NA,"LAL183","acetylcholine","putative_primary","LAL183","FBbt_20001479","flywire","fw:720575940636992368","fw:720575940618019933"
"23",720575940644615716,720575940615651670,52,"LAL_R","78956961051795800","L","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940644615716","fw:720575940615651670"
"24",720575940644615716,720575940629662208,52,"LAL_R","78253823432756101","L","intrinsic","central",NA,"CB0646","gaba","putative_primary","hb1822686129",NA,"flywire","fw:720575940644615716","fw:720575940629662208"
"25",720575940636992368,720575940628455942,51,"LAL_L","80504729557410218","R","intrinsic","central",NA,"CRE011","acetylcholine","putative_primary","CRE011","FBbt_20001080","flywire","fw:720575940636992368","fw:720575940628455942"
"26",720575940644615716,720575940645239844,50,"LAL_R","79238436028353187","L","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940644615716","fw:720575940645239844"
"27",720575940636992368,720575940623067389,46,"LAL_R","78323848579376136","L","intrinsic","central",NA,"LAL051","glutamate","VLPl2_medial","LAL051","FBbt_20001347","flywire","fw:720575940636992368","fw:720575940623067389"
"28",720575940636992368,720575940645239844,45,"LAL_R","79238436028353187","L","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940636992368","fw:720575940645239844"
"29",720575940644615716,720575940630085583,41,"LAL_L","81067198742878698","R","efferent","descending",NA,"DNa03","acetylcholine","WEDd1","DNa03","FBbt_00047574","flywire","fw:720575940644615716","fw:720575940630085583"
"30",720575940636992368,720575940629910636,40,"LAL_R","78253617274050557","L","intrinsic","central",NA,"LAL115","acetylcholine",NA,"LAL115","FBbt_20001411","flywire","fw:720575940636992368","fw:720575940629910636"
"31",720575940636992368,720575940620918789,38,"LAL_R","78816429788909362","L","efferent","descending",NA,"DNa03","acetylcholine","WEDd1","DNa03","FBbt_00047574","flywire","fw:720575940636992368","fw:720575940620918789"
"32",720575940644615716,720575940659019649,37,"LAL_L","81208967425967975","R","intrinsic","central",NA,"LAL171,LAL172","acetylcholine","putative_primary","LAL171,LAL172",NA,"flywire","fw:720575940644615716","fw:720575940659019649"
"33",720575940636992368,720575940631341672,34,"AL_L","81068160748488643","R","intrinsic","central",NA,"720575940607472649","acetylcholine","CREa2_ventral",NA,NA,"flywire","fw:720575940636992368","fw:720575940631341672"
"34",720575940636992368,720575940628695043,33,"LAL_R","78464586068026339","L","intrinsic","central",NA,"CRE011","acetylcholine","putative_primary","CRE011","FBbt_20001080","flywire","fw:720575940636992368","fw:720575940628695043"
"35",720575940636992368,720575940629662208,33,"LAL_R","78253823432756101","L","intrinsic","central",NA,"CB0646","gaba","putative_primary","hb1822686129",NA,"flywire","fw:720575940636992368","fw:720575940629662208"
"36",720575940636992368,720575940641780187,33,"SMP_L","81560123348203382","R","intrinsic","central",NA,"SMP109","acetylcholine","putative_primary","SMP109","FBbt_20002971","flywire","fw:720575940636992368","fw:720575940641780187"
"37",720575940636992368,720575940614376615,32,"SMP_L","81842079898579808","R","intrinsic","central",NA,"SMP568","acetylcholine","VLPl&p1_posterior","SMP568",NA,"flywire","fw:720575940636992368","fw:720575940614376615"
"38",720575940644615716,720575940628695043,31,"LAL_R","78464586068026339","L","intrinsic","central",NA,"CRE011","acetylcholine","putative_primary","CRE011","FBbt_20001080","flywire","fw:720575940644615716","fw:720575940628695043"
"39",720575940636992368,720575940608127666,30,"LAL_R","79308873492023611","L","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940636992368","fw:720575940608127666"
"40",720575940636992368,720575940651305718,30,"SMP_L","81771917312745497","R","intrinsic","central",NA,"SMP568","acetylcholine","VLPl&p1_posterior","SMP568",NA,"flywire","fw:720575940636992368","fw:720575940651305718"
"41",720575940644615716,720575940622979848,30,"LAL_L","81138392456950436","R","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940644615716","fw:720575940622979848"
"42",720575940644615716,720575940637073385,30,"LAL_R","78322611561865947","L","intrinsic","central",NA,"720575940652059638","acetylcholine","CREa2_ventral",NA,NA,"flywire","fw:720575940644615716","fw:720575940637073385"
"43",720575940636992368,720575940621646668,29,"CRE_L","81701479915815683","R","intrinsic","central",NA,"CRE103","acetylcholine","VLPl&p1_posterior","CRE103","FBbt_20001172","flywire","fw:720575940636992368","fw:720575940621646668"
"44",720575940644615716,720575940612213741,29,"LAL_L","80787785149589590","R","intrinsic","central",NA,"CB0646","gaba","putative_primary","hb1822686129",NA,"flywire","fw:720575940644615716","fw:720575940612213741"
"45",720575940636992368,720575940606664894,27,"SMP_L","80575098301848998","R","intrinsic","central",NA,"CRE042","gaba","putative_primary","CRE042","FBbt_20001111","flywire","fw:720575940636992368","fw:720575940606664894"
"46",720575940636992368,720575940617306717,26,"SMP_L","81842217337364866","R","intrinsic","central",NA,"SMP568","acetylcholine","VLPl&p1_posterior","SMP568",NA,"flywire","fw:720575940636992368","fw:720575940617306717"
"47",720575940636992368,720575940624989758,26,"LAL_L","80996623773518371","R","intrinsic","central",NA,"720575940652059638","acetylcholine","CREa2_ventral",NA,NA,"flywire","fw:720575940636992368","fw:720575940624989758"
"48",720575940644615716,720575940626113661,26,"LAL_L","80504730161693102","R","intrinsic","central",NA,"LAL173,LAL174","acetylcholine",NA,"LAL173,LAL174",NA,"flywire","fw:720575940644615716","fw:720575940626113661"
"49",720575940644615716,720575940640249296,26,"LAL_R","79801592274646654","L","intrinsic","central",NA,"LAL183","acetylcholine","putative_primary","LAL183","FBbt_20001479","flywire","fw:720575940644615716","fw:720575940640249296"
"50",720575940636992368,720575940605007206,25,"SMP_L","80291974460384015","R","intrinsic","central",NA,"CRE102","glutamate","putative_primary","CRE102","FBbt_20001171","flywire","fw:720575940636992368","fw:720575940605007206"
