"","MBONtype","DNtype","normvalues"
"1","MBON01","DNa01",0.019098182983867
"8","MBON09","DNa01",0.00159453887810521
"9","MBON10","DNa01",0.00105986971357667
"11","MBON12","DNa01",0.000818598559266536
"14","MBON15","DNa01",0.00106472416160961
"21","MBON20","DNa01",0.119971166534902
"22","MBON21","DNa01",0.000217716065022685
"26","MBON25,MBON34","DNa01",0.000982318271119843
"27","MBON26","DNa01",0.0550049249737478
"28","MBON27","DNa01",0.0887846283927765
"30","MBON29","DNa01",0.000680311756372427
"31","MBON30","DNa01",0.0125732005165624
"32","MBON31","DNa01",0.0496263012596668
"33","MBON32","DNa01",0.204129965822329
"34","MBON33","DNa01",0.073490824178337
"35","MBON35","DNa01",0.370902727932739
"36","MBON01","DNa02",0.0244698319314022
"38","MBON03","DNa02",0.00102850480217715
"39","MBON04","DNa02",0.00907120019095313
"40","MBON05","DNa02",0.00708077789396905
"43","MBON09","DNa02",0.000852591409874357
"44","MBON10","DNa02",0.0163877506458346
"45","MBON11","DNa02",1.92860776216409e-06
"46","MBON12","DNa02",0.0409869113003374
"47","MBON13","DNa02",2.94241434688228e-05
"49","MBON15","DNa02",0.00298016349988155
"50","MBON15-like","DNa02",0.000526804658774279
"56","MBON20","DNa02",0.0406628554160128
"57","MBON21","DNa02",0.00882232875281604
"58","MBON22","DNa02",1.44645582162307e-06
"61","MBON25,MBON34","DNa02",0.00113468109971806
"62","MBON26","DNa02",0.148648309993817
"63","MBON27","DNa02",0.198553779186574
"65","MBON29","DNa02",0.000106159016971599
"66","MBON30","DNa02",0.0142370928485329
"67","MBON31","DNa02",0.120985296838267
"68","MBON32","DNa02",0.182814405304099
"69","MBON33","DNa02",0.0103626698497104
"70","MBON35","DNa02",0.170255086153226
"71","MBON01","DNa03",0.0178371682008014
"72","MBON02","DNa03",1.1459362553859e-05
"73","MBON03","DNa03",0.00464594124209229
"74","MBON04","DNa03",0.0206177716537583
"75","MBON05","DNa03",0.00519322705078508
"79","MBON10","DNa03",0.0133802869645536
"80","MBON11","DNa03",1.52773488298637e-05
"81","MBON12","DNa03",0.0124208555930143
"82","MBON13","DNa03",0.000158297645632254
"84","MBON15","DNa03",0.000677375653183666
"85","MBON15-like","DNa03",0.00180633352809159
"86","MBON16","DNa03",5.0708096308197e-06
"88","MBON17-like","DNa03",9.05612806112737e-05
"89","MBON18","DNa03",2.02832385232788e-05
"91","MBON20","DNa03",0.0457533947240517
"92","MBON21","DNa03",0.0144019315202516
"93","MBON22","DNa03",1.14580116223978e-05
"96","MBON25,MBON34","DNa03",0.00212441469808597
"97","MBON26","DNa03",0.175485488330858
"98","MBON27","DNa03",0.210765586001556
"99","MBON28","DNa03",0.000357914646442024
"100","MBON29","DNa03",0.00545075073036485
"101","MBON30","DNa03",0.0439031689754064
"102","MBON31","DNa03",0.0560320162137734
"103","MBON32","DNa03",0.105933339838869
"104","MBON33","DNa03",0.00944650491276483
"105","MBON35","DNa03",0.253454121823893
"106","MBON01","DNa04",0.003522388580071
"116","MBON12","DNa04",0.0896442404635512
"121","MBON16","DNa04",0.0121627552193267
"122","MBON17","DNa04",0.000835928193768155
"126","MBON20","DNa04",0.152135620814436
"132","MBON26","DNa04",0.0454822612754931
"133","MBON27","DNa04",0.229768176527997
"134","MBON28","DNa04",0.000668742555014524
"136","MBON30","DNa04",0.00113895216400911
"137","MBON31","DNa04",0.0521919120107304
"138","MBON32","DNa04",0.1852684541836
"140","MBON35","DNa04",0.227180568012003
"145","MBON05","DNa05",0.0833333333333333
"161","MBON20","DNa05",0.30952380952381
"173","MBON32","DNa05",0.182142857142857
"174","MBON33","DNa05",0.0833333333333333
"175","MBON35","DNa05",0.341666666666667
"176","MBON01","DNa06",0.000824336822969406
"179","MBON04","DNa06",0.0164611422511741
"180","MBON05","DNa06",5.56733828207847e-05
"184","MBON10","DNa06",0.0515527950310559
"186","MBON12","DNa06",0.00660202999545523
"196","MBON20","DNa06",0.0416482351158915
"197","MBON21","DNa06",0.00100212089077413
"202","MBON26","DNa06",0.323907097450568
"203","MBON27","DNa06",0.123767758448695
"205","MBON29","DNa06",0.000294273594909862
"206","MBON30","DNa06",0.000787380699893955
"207","MBON31","DNa06",0.12080717195626
"208","MBON32","DNa06",0.169505251688661
"209","MBON33","DNa06",0.0110770572901702
"210","MBON35","DNa06",0.131707675380701
"231","MBON20","DNa07",0.5
"244","MBON33","DNa07",0.5
"246","MBON01","DNa08",0.147638568868408
"253","MBON09","DNa08",0.00375
"254","MBON10","DNa08",0.000986842105263158
"256","MBON12","DNa08",0.368075716845878
"266","MBON20","DNa08",0.338452380952381
"273","MBON27","DNa08",0.0326388888888889
"276","MBON30","DNa08",0.0348611111111111
"277","MBON31","DNa08",0.00723684210526316
"278","MBON32","DNa08",0.0637280701754386
"280","MBON35","DNa08",0.00263157894736842
"281","MBON01","DNa09",0.000471209122608614
"284","MBON04","DNa09",0.0680007576407353
"285","MBON05","DNa09",0.00381679389312977
"291","MBON12","DNa09",0.00461784940156441
"301","MBON20","DNa09",0.39987706206936
"307","MBON26","DNa09",0.0104579180389229
"308","MBON27","DNa09",0.183956459369491
"310","MBON29","DNa09",0.000259291270527226
"311","MBON30","DNa09",0.00123163353500432
"312","MBON31","DNa09",0.021198235941602
"313","MBON32","DNa09",0.207369934522103
"314","MBON33","DNa09",0.0193484289676073
"315","MBON35","DNa09",0.079394426227345
"316","MBON01","DNa10",0.0197792440079186
"318","MBON03","DNa10",0.00163398692810457
"319","MBON04","DNa10",0.0361535447925607
"320","MBON05","DNa10",0.167514668271401
"324","MBON10","DNa10",0.0032055816456072
"326","MBON12","DNa10",0.0847999764122548
"329","MBON15","DNa10",0.0086862978322817
"330","MBON15-like","DNa10",0.00182710411154081
"333","MBON17-like","DNa10",0.000121647923875433
"336","MBON20","DNa10",0.221107266435986
"342","MBON26","DNa10",0.000559006211180124
"343","MBON27","DNa10",0.000297804753531114
"345","MBON29","DNa10",0.00330411637407275
"346","MBON30","DNa10",0.0265336531228663
"347","MBON31","DNa10",0.0142325826099274
"348","MBON32","DNa10",0.117240036447601
"349","MBON33","DNa10",0.162112231081691
"350","MBON35","DNa10",0.130891251037599
"351","MBON01","DNae001",0.0124733158973634
"355","MBON05","DNae001",0.0216846817338137
"358","MBON09","DNae001",0.0609966777408638
"361","MBON12","DNae001",0.0237856845841667
"362","MBON13","DNae001",0.00593765462642256
"363","MBON14","DNae001",0.408450704225352
"371","MBON20","DNae001",0.00493181073757556
"372","MBON21","DNae001",0.00119601328903654
"376","MBON25,MBON34","DNae001",0.381455399061033
"380","MBON29","DNae001",0.000598006644518272
"381","MBON30","DNae001",0.00079734219269103
"384","MBON33","DNae001",0.0317124735729387
"385","MBON35","DNae001",0.0459802356942247
"386","MBON01","DNae002",0.0570672713529856
"392","MBON07","DNae002",0.00200416867083534
"393","MBON09","DNae002",0.00513163766175814
"394","MBON10","DNae002",0.00031328320802005
"396","MBON12","DNae002",0.0302108385441719
"397","MBON13","DNae002",0.0018037518037518
"398","MBON14","DNae002",0.000901875901875902
"406","MBON20","DNae002",0.557863969960744
"407","MBON21","DNae002",0.00793650793650794
"411","MBON25,MBON34","DNae002",0.00396825396825397
"412","MBON26","DNae002",0.00302668259657507
"413","MBON27","DNae002",0.0403439153439153
"415","MBON29","DNae002",0.0609076109076109
"416","MBON30","DNae002",0.0118640618640619
"417","MBON31","DNae002",0.010939385500789
"418","MBON32","DNae002",0.0286770085015699
"419","MBON33","DNae002",0.0202380952380952
"420","MBON35","DNae002",0.156801681038478
"423","MBON03","DNae003",0.000226614629233287
